_id,ilce_adi,mahalle_adi,mahalle_uavt,1980_oncesi,1980-2000_arasi,2000_sonrasi,1-4 kat_arasi,5-9 kat_arasi,9-19 kat_arasi,_id_s,ilce_adi_s,mahalle_adi_s,mahalle_koy_uavt,cok_agir_hasarli_bina_sayisi,agir_hasarli_bina_sayisi,orta_hasarli_bina_sayisi,hafif_hasarli_bina_sayisi,can_kaybi_sayisi,agir_yarali_sayisi,hastanede_tedavi_sayisi,hafif_yarali_sayisi,dogalgaz_boru_hasari,icme_suyu_boru_hasari,atik_su_boru_hasari,gecici_barinma,n_bldg,heavy,dmg_any,heavy_ratio
646,PENDÝK,SÜLÜNTEPE,40655,44,1645,673,2070,240,52,646,PENDÝK,SÜLÜNTEPE,40655,8,41,230,537,4,2,19,47,0,1,1,976,2362,49,816,0.020745131244707875
647,PENDÝK,ÞEYHLÝ,40630,117,462,527,732,319,55,647,PENDÝK,ÞEYHLÝ,40630,7,27,144,313,4,2,17,38,1,1,1,832,1106,34,491,0.03074141048824593
648,PENDÝK,VELÝBABA,40642,228,1469,1043,2139,575,26,648,PENDÝK,VELÝBABA,40642,10,48,271,665,5,3,26,66,1,1,2,1391,2740,58,994,0.021167883211678833
649,PENDÝK,YAYALAR,40641,167,634,265,887,165,14,649,PENDÝK,YAYALAR,40641,5,21,112,256,1,0,10,24,0,0,1,496,1066,26,394,0.024390243902439025
650,PENDÝK,YENÝ,40652,403,405,343,793,312,46,650,PENDÝK,YENÝ,40652,16,44,208,365,14,8,38,74,0,1,1,1129,1151,60,633,0.052128583840139006
651,PENDÝK,YENÝÞEHÝR,40653,1,696,829,792,336,398,651,PENDÝK,YENÝÞEHÝR,40653,3,18,117,335,2,0,17,49,1,1,1,1526,1526,21,473,0.013761467889908258
652,PENDÝK,YEÞÝLBAÐLAR,40648,221,156,189,393,161,12,652,PENDÝK,YEÞÝLBAÐLAR,40648,6,17,88,162,4,2,13,26,0,0,1,385,566,23,273,0.04063604240282685
653,SANCAKTEPE,ABDURRAHMANGAZÝ,40579,41,1025,1371,1673,743,21,653,SANCAKTEPE,ABDURRAHMANGAZÝ,40579,5,29,183,515,3,1,13,35,1,1,2,931,2437,34,732,0.013951579811243332
654,SANCAKTEPE,AKPINAR,40575,1,1351,532,1527,357,0,654,SANCAKTEPE,AKPINAR,40575,14,57,268,534,11,7,36,78,1,1,2,1340,1884,71,873,0.03768577494692144
655,SANCAKTEPE,ATATÜRK,98781,54,1110,713,1068,809,0,655,SANCAKTEPE,ATATÜRK,98781,1,6,69,285,0,0,2,12,0,0,0,359,1877,7,361,0.0037293553542887587
656,SANCAKTEPE,EMEK,40759,4,843,694,903,602,36,656,SANCAKTEPE,EMEK,40759,4,22,144,394,3,1,14,36,0,1,1,844,1541,26,564,0.016872160934458143
657,SANCAKTEPE,EYÜP SULTAN,40578,68,615,986,1093,571,5,657,SANCAKTEPE,EYÜP SULTAN,40578,5,24,154,419,1,0,9,28,1,1,2,628,1669,29,602,0.01737567405632115
658,SANCAKTEPE,FATÝH,40576,8,839,986,1123,679,31,658,SANCAKTEPE,FATÝH,40576,7,35,213,538,4,1,21,54,1,1,2,1257,1833,42,793,0.022913256955810146
659,SANCAKTEPE,HÝLAL,40776,1,422,469,874,18,0,659,SANCAKTEPE,HÝLAL,40776,1,7,54,148,0,0,2,6,0,0,0,157,892,8,210,0.008968609865470852
660,SANCAKTEPE,ÝNÖNÜ,40760,20,608,699,541,786,0,660,SANCAKTEPE,ÝNÖNÜ,40760,1,4,48,228,0,0,2,11,0,0,0,271,1327,5,281,0.0037678975131876413
661,SANCAKTEPE,KEMAL TÜRKLER,40761,24,679,579,761,519,2,661,SANCAKTEPE,KEMAL TÜRKLER,40761,1,7,63,230,0,0,3,12,0,0,0,329,1282,8,301,0.0062402496099844
662,SANCAKTEPE,MECLÝS,40762,53,660,761,567,907,0,662,SANCAKTEPE,MECLÝS,40762,1,6,64,286,1,0,4,15,0,1,1,393,1474,7,357,0.0047489823609226595
663,SANCAKTEPE,MERVE,40775,2,660,848,1093,412,5,663,SANCAKTEPE,MERVE,40775,2,12,96,285,0,0,3,15,0,0,1,457,1510,14,395,0.009271523178807948
664,SANCAKTEPE,MEVLANA,40773,1,814,602,1151,264,2,664,SANCAKTEPE,MEVLANA,40773,2,14,93,265,1,1,6,18,0,0,1,434,1417,16,374,0.011291460832745237
665,SANCAKTEPE,OSMANGAZÝ,40580,25,1906,1282,2477,704,32,665,SANCAKTEPE,OSMANGAZÝ,40580,19,84,416,861,11,6,46,111,1,1,3,2173,3213,103,1380,0.032057267351385
666,SANCAKTEPE,PAÞAKÖY,192001,99,151,445,686,9,0,666,SANCAKTEPE,PAÞAKÖY,192001,1,9,51,125,0,0,0,0,0,0,0,65,695,10,186,0.014388489208633094
667,SANCAKTEPE,SAFA,40771,1,515,605,736,366,19,667,SANCAKTEPE,SAFA,40771,2,13,88,256,1,0,7,21,0,0,0,517,1121,15,359,0.013380909901873328
668,SANCAKTEPE,SARIGAZÝ,40763,41,737,543,750,571,0,668,SANCAKTEPE,SARIGAZÝ,40763,4,17,114,322,3,1,12,30,0,0,1,704,1321,21,457,0.015897047691143074
