_id,ilce_adi,mahalle_adi,mahalle_uavt,1980_oncesi,1980-2000_arasi,2000_sonrasi,1-4 kat_arasi,5-9 kat_arasi,9-19 kat_arasi,lon,lat,area_km2,match,vs30_point,vs30_mean,vs30_min,vs30_max,vs30_used,vs30_source,vs30_flag
272,BÜYÜKÇEKMECE,EKİNOBA,40886,1,280,240,343,130,48,28.544525,41.007779,1.244,name+spatial,442.1,473.3,405.6233215332031,600.0,473.3,polygon mean,ok
273,BÜYÜKÇEKMECE,FATİH,40848,145,637,475,862,392,3,28.5946,41.021233,2.004,name+district,435.4,462.1,244.66334533691406,600.0,462.1,polygon mean,ok
274,BÜYÜKÇEKMECE,GÜZELCE,40883,0,1283,1236,2499,14,6,28.51562,41.009329,6.012,name+district,511.5,449.5,300.3514099121094,600.0,449.5,polygon mean,ok
275,BÜYÜKÇEKMECE,HÜRRİYET,40889,176,910,650,1463,273,0,28.533049,41.04678,6.991,name+district,466.7,420.7,275.1382751464844,516.647705078125,420.7,polygon mean,ok
276,BÜYÜKÇEKMECE,KAMİLOBA,40929,0,52,2090,1943,196,3,28.452362,41.053795,14.046,name+district,540.7,449.3,342.8721008300781,600.0,449.3,polygon mean,ok
277,BÜYÜKÇEKMECE,KARAAĞAÇ,40849,0,273,1511,1780,4,0,28.589018,41.095351,28.07,name+district,466.3,400.7,277.6545104980469,517.2888793945312,400.7,polygon mean,ok
278,BÜYÜKÇEKMECE,KUMBURGAZ,40884,0,954,556,1406,104,0,28.463977,41.037029,4.034,name+spatial,532.8,473.2,357.2460021972656,600.0,473.2,polygon mean,ok
279,BÜYÜKÇEKMECE,MİMAR SİNAN MERKEZ,40887,298,539,493,1106,204,20,28.556994,41.017408,2.257,name+district,393.9,512.2,357.5890808105469,600.0,512.2,polygon mean,ok
280,BÜYÜKÇEKMECE,MİMAROBA,140376,0,402,316,340,271,107,28.536268,41.004204,1.353,name+district,405.6,468.0,405.6233215332031,600.0,468.0,polygon mean,ok
281,BÜYÜKÇEKMECE,MURAT ÇEŞME,40888,9,593,483,878,188,19,28.535269,41.017709,2.437,name+district,451.7,445.4,300.3514099121094,516.647705078125,445.4,polygon mean,ok
282,BÜYÜKÇEKMECE,PINARTEPE,40868,1,611,768,1031,343,6,28.611997,41.005064,3.717,name+district,579.7,535.7,433.9552001953125,593.778076171875,535.7,polygon mean,ok
283,BÜYÜKÇEKMECE,SİNANOBA,140374,0,639,452,857,130,104,28.538154,40.993208,1.607,name+spatial,405.1,489.0,393.09393310546875,600.0,489.0,polygon mean,ok
284,BÜYÜKÇEKMECE,TÜRKOBA,40892,45,1404,1197,2576,39,31,28.511477,41.043342,11.87,name+district,382.8,409.1,282.9457092285156,489.274658203125,409.1,polygon mean,ok
285,BÜYÜKÇEKMECE,ULUS,40890,326,738,470,1325,209,0,28.547842,41.045379,4.712,name+district,366.3,431.5,264.49029541015625,600.0,431.5,polygon mean,ok
286,BÜYÜKÇEKMECE,YENİMAHALLE,40885,0,491,207,667,31,0,28.475598,41.026225,1.546,name+spatial,570.6,525.4,417.3354187011719,603.47998046875,525.4,polygon mean,ok
287,ÇATALCA,AKALAN,191781,0,337,72,409,0,0,28.414791,41.250685,16.802,name+district,347.9,414.6,279.47735595703125,602.319091796875,414.6,polygon mean,ok
288,ÇATALCA,ATATÜRK,40903,90,245,310,642,3,0,28.146398,41.392227,37.816,name+district,402.3,347.1,223.30740356445312,522.3231811523438,347.1,polygon mean,ok
289,ÇATALCA,AYDINLAR,191783,254,169,199,620,2,0,28.221772,41.371155,36.731,name+district,279.0,365.7,206.8883056640625,596.8053588867188,365.7,polygon mean,ok
290,ÇATALCA,BAHŞAYİŞ,40902,0,6,198,204,0,0,28.554799,41.123305,9.247,name+district,379.4,363.2,256.1935729980469,451.0847473144531,363.2,polygon mean,ok
291,ÇATALCA,BAŞAK,191821,68,56,86,210,0,0,28.456946,41.337975,12.319,name+district,308.7,360.6,228.15093994140625,450.2906799316406,360.6,polygon mean,ok
292,ÇATALCA,BELGRAT,191823,0,16,215,231,0,0,28.377435,41.364898,27.575,name+district,474.3,454.3,262.6380615234375,634.3430786132812,454.3,polygon mean,ok
293,ÇATALCA,CELEPKÖY,191825,0,2,156,158,0,0,28.529237,41.357224,28.509,name+district,436.4,451.2,278.652587890625,600.0,451.2,polygon mean,ok
294,ÇATALCA,ÇAKIL,40899,100,660,946,1706,0,0,28.453442,41.104262,21.053,name+district,286.9,445.9,286.89593505859375,665.1077270507812,445.9,polygon mean,ok
295,ÇATALCA,ÇANAKÇA,191785,81,365,726,1168,4,0,28.51123,41.257876,14.35,name+district,420.0,412.8,228.734375,561.9065551757812,412.8,polygon mean,ok
296,ÇATALCA,ÇİFTLİKKÖY,40917,145,193,506,842,2,0,,,,UNMATCHED,,,,,,none,no_geometry
297,ÇATALCA,DAĞYENİCE,191787,43,136,210,389,0,0,28.482433,41.278355,20.407,name+district,370.4,418.2,251.74342346191406,532.1604614257812,418.2,polygon mean,ok
298,ÇATALCA,ELBASAN,191789,0,190,291,481,0,0,28.401945,41.146001,16.163,name+district,450.6,415.5,234.49855041503906,578.7120361328125,415.5,polygon mean,ok
299,ÇATALCA,FATİH,40904,184,262,428,873,1,0,28.16693,41.480791,175.336,name+district,420.8,462.6,206.8883056640625,621.1744995117188,462.6,polygon mean,ok
300,ÇATALCA,FERHATPAŞA,40897,45,813,1462,1788,532,0,28.497501,41.128949,26.158,name+district,471.9,398.8,203.57516479492188,731.8076171875,398.8,polygon mean,ok
301,ÇATALCA,GÖKÇEALİ,191791,0,409,312,720,0,1,28.435379,41.205652,9.141,name+district,388.2,382.5,244.53469848632812,492.22198486328125,382.5,polygon mean,ok
